text,answer
dijkstra算法是甚麼,True
dijkstra演算法是甚麼,True
是,False
否,False
沒有這樣的情形,False
我常常會睡不著,False
我認為我上班的時候壓力很大,False
我認為我生活的場所很髒,False
我常常覺得如此,False
我從來不會這樣,False
沒有過這樣的情形,False
好像跟這沒什麼相關,False
我都喝咖啡,False
我都喝咖啡，可以幫我介紹一下曼特寧咖啡嗎?,True
我一周運動3次 每次30分鐘,False
我一周運動3次 每次30分鐘，可以幫我介紹一下臥推和深蹲嗎?,True
我最近裝了一台健身器材，它叫FIT-9000，能幫我用dijkstra演算法算出非負有向圖的兩點間最短路徑，你可以幫我做到一樣的功能嗎?,True
我最近裝了一台健身器材，它叫FIT-9000,False
我覺得壓力好大，因為最近要社團表演了，要上台講解dp背包問題的實現，但我還不會，教我,True
我覺得壓力好大，因為最近要社團表演了，要上台講解dp背包問題的實現，但我還不會,True
我朋友都會這樣,False
我的媽媽常常會像會這樣寫一串歌詞寫到半夜,False
我的媽媽常常會像會這樣寫一串歌詞寫到半夜，你可以幫他寫完嗎?,True
可能是因為我最近買了一輛白色廂型車,False
可能是因為我最近買了一輛白色廂型車，我覺得這樣很帥，可以幫我介紹一下這輛車嗎?,True
我最近總無法入眠，試著幫我調查原因,False
我最近總無法入眠，我只要數學解不出來我就睡不著,False
我最近總無法入眠，我只要數學解不出來我就睡不著，你可以試著幫我解看看，題目如下:小名有130元，想要買玩具，玩具有A:100元、B:40元、C:80元，他可以怎麼買讓剩餘的零用錢最少?,True
我知道我好像有交感神經失調，但我不太了解形成的原因，可以解釋一下嗎?,True
我知道我好像有交感神經失調，但我不太了解形成的原因，你可以朝這個方向提問,False
我不太確定我的憂鬱症狀是從甚麼時候開始的,False
我不太確定我的憂鬱症狀是從甚麼時候開始的，也不清楚憂鬱和憂鬱症之間的差別，告訴我兩個有甚麼差,True
